LNI,DecisionDate,CaseTitleShort,Court
5NMN-RCM1-DYTB-X1V5-00000-00,NA,,
5NMN-RDC1-JCB9-61DX-00000-00,NA,,
5NMN-RGW1-DYTB-X1VV-00000-00,NA,,
5NMN-RCY1-DYTB-X1VF-00000-00,NA,,
5NYK-PXX1-DYTB-X4XM-00000-00,NA,,
5NMN-RDF1-JCB9-61F0-00000-00,NA,,
5NMN-RCT1-DYTB-X1V9-00000-00,NA,,
5RJ8-3DP1-F04K-S2GK-00000-00,NA,,
3S12-VYB0-0038-X3BN-00000-00,NA,,
5NMN-RDR1-JCB9-61F4-00000-00,NA,,
5NYK-PY01-DYTB-X4XR-00000-00,NA,,
3S4X-6M00-008H-V0GV-00000-00,NA,,
5NMN-RDN1-JCB9-61F1-00000-00,NA,,
5NMN-RJ41-JCB9-61GJ-00000-00,NA,,
5NMN-RFF1-DYTB-X1VK-00000-00,NA,,
5NMN-RD71-JCB9-61DG-00000-00,NA,,
5NMN-RH41-JCB9-61G4-00000-00,NA,,
5NMN-RD91-JCB9-61DP-00000-00,NA,,
3S4X-C0G0-001T-D46N-00000-00,NA,,
5NMN-RCT1-DYTB-X1VC-00000-00,NA,,
5NMN-RJ11-JCB9-61GD-00000-00,NA,,
5NMN-RD81-JCB9-61DM-00000-00,NA,,
4F7Y-YXX0-TVRV-K31B-00000-00,NA,,
3RHM-PKM0-0038-X3K4-00000-00,NA,,
5NYK-PXX1-DYTB-X4XP-00000-00,NA,,
4G24-T8Y0-TVRV-K2NF-00000-00,NA,,
3S4X-6M00-008H-V0GW-00000-00,NA,,
5NYK-PX51-DYTB-X4WP-00000-00,NA,,
5NMN-RH11-JCB9-61FX-00000-00,NA,,
5PSR-2B41-F04K-W0JH-00000-00,2017-10-23,Sweat v. Rickards,10th Circuit Court of Appeals
5KSG-TH21-DYXG-1002-00000-00,2016-07-12,In re McClouden,11th Circuit Court of Appeals
3S4X-62M0-003B-P4B0-00000-00,1994-05-17,Harris v. Evans,11th Circuit Court of Appeals
3TP6-S860-0038-X120-00000-00,1998-09-11,City of Hope Nat'l Med. Ctr. v. Healthplus, Inc.,1st Circuit Court of Appeals
4FN6-TKH0-0038-X19G-00000-00,2005-03-07,Meyer v. Bear Rd. Assocs.,2nd Circuit Court of Appeals
5R5K-THB1-F04K-K1K0-00000-00,2017-12-13,Constitution Party of Pa. v. Cortes,3rd Circuit Court of Appeals
5R5K-THB1-F04K-K1K1-00000-00,2017-12-13,United States v. Graves,3rd Circuit Court of Appeals
5P9X-C0S1-F04K-N0N9-00000-00,2017-08-21,Fifth Circuit v. McFarland,5th Circuit Court of Appeals
3S4X-5HP0-0039-W1YD-00000-00,1981-02-02,Braden v. Texas A & M University System,5th Circuit Court of Appeals
3S4X-F5V0-003B-P4NK-00000-00,1993-07-20,Gough v. Natural Gas Pipeline Co.,5th Circuit Court of Appeals
5PPD-52B1-F04K-R0VG-00000-00,2017-10-12,Carlson v. Csx Transp.,7th Circuit Court of Appeals
5J1W-NFH1-F04K-R0HP-00000-00,2009-02-17,United States v. Lucas,7th Circuit Court of Appeals
5PPD-52B1-F04K-R0VH-00000-00,2017-10-12,Carlson v. Csx Transp.,7th Circuit Court of Appeals
3S4X-7T40-001B-K49W-00000-00,1987-08-26,United States v. Crooks,9th Circuit Court of Appeals
3S4W-XP40-003B-G4HH-00000-00,1984-01-31,EEOC v. Borden's, Inc.,9th Circuit Court of Appeals
3S4X-4NR0-008H-V18P-00000-00,1992-04-03,Rochester Pure Waters Dist. v. EPA,DC Circuit Court of Appeals
5P27-TVC1-F04B-M0BT-00000-00,2017-07-19,Nobelbiz, Inc. v. Connect,Federal Circuit Court of Appeals
5R5D-05K1-F04B-M0HT-00000-00,2017-12-08,Errata v. Google, Inc.,Federal Circuit Court of Appeals
5RHV-1BX1-F04K-P376-00000-00,2009-11-09,United States v. Tate,Tennessee Eastern District Court
