"year","Court","n"
1973,"10th Circuit Court of Appeals",291
1973,"1st Circuit Court of Appeals",147
1973,"2nd Circuit Court of Appeals",447
1973,"3rd Circuit Court of Appeals",309
1973,"4th Circuit Court of Appeals",540
1973,"5th Circuit Court of Appeals",1941
1973,"6th Circuit Court of Appeals",424
1973,"7th Circuit Court of Appeals",694
1973,"8th Circuit Court of Appeals",426
1973,"9th Circuit Court of Appeals",661
1973,"DC Circuit Court of Appeals",375
1973,"Temporary Emergency Court of Appeals",25
1979,"9th Circuit Court of Appeals",1
1981,"4th Circuit Court of Appeals",1
1982,"DC Circuit Court of Appeals",1
1983,"4th Circuit Court of Appeals",1
1984,"9th Circuit Court of Appeals",1
1985,"6th Circuit Court of Appeals",1
1985,"7th Circuit Court of Appeals",1
1987,"1st Circuit Court of Appeals",1
1988,"Federal Circuit Court of Appeals",1
1989,"5th Circuit Court of Appeals",1
1990,"11th Circuit Court of Appeals",1
1990,"5th Circuit Court of Appeals",1
1992,"9th Circuit Court of Appeals",1
1993,"6th Circuit Court of Appeals",1
1994,"DC Circuit Court of Appeals",1
1996,"6th Circuit Court of Appeals",2
1997,"DC Circuit Court of Appeals",1
1999,"11th Circuit Court of Appeals",1
1999,"Federal Circuit Court of Appeals",1
2002,"3rd Circuit Court of Appeals",1
2002,"5th Circuit Court of Appeals",1
2002,"Federal Circuit Court of Appeals",1
2003,"6th Circuit Court of Appeals",1
2003,"Federal Circuit Court of Appeals",3
2004,"10th Circuit Court of Appeals",1
2004,"5th Circuit Court of Appeals",1
2004,"Federal Circuit Court of Appeals",11
2005,"11th Circuit Court of Appeals",1
2005,"9th Circuit Court of Appeals",3
2005,"Federal Circuit Court of Appeals",5
2006,"4th Circuit Court of Appeals",1
2006,"5th Circuit Court of Appeals",3
2006,"6th Circuit Court of Appeals",1
2006,"7th Circuit Court of Appeals",1
2006,"9th Circuit Court of Appeals",1
2007,"10th Circuit Court of Appeals",1
2007,"11th Circuit Court of Appeals",2
2007,"5th Circuit Court of Appeals",1
2007,"6th Circuit Court of Appeals",1
2008,"11th Circuit Court of Appeals",4
2008,"3rd Circuit Court of Appeals",1
2008,"6th Circuit Court of Appeals",10
2008,"7th Circuit Court of Appeals",2
2008,"9th Circuit Court of Appeals",3
2009,"11th Circuit Court of Appeals",1
2009,"2nd Circuit Court of Appeals",1
2009,"3rd Circuit Court of Appeals",2
2009,"5th Circuit Court of Appeals",4
2009,"6th Circuit Court of Appeals",12
2009,"7th Circuit Court of Appeals",4
2009,"9th Circuit Court of Appeals",4
